i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
112	-1675.68673535	4147.47020911	0.0	-1772.82868401	4152.52386435	-33.4834961336	-97.14194866243655	5.053655244179339	-33.483496133600426
113	-1774.9699991	4181.56727164	0.0	-1737.62510446	4110.10921658	43.3204694014	37.34489463678457	-71.45805506257742	43.32046940144923
114	-1876.61918946	4214.95571015	0.0	-1936.2444923	4302.18743152	-35.4425461145	-59.62530283964591	87.23172137293241	-35.44254611451194
115	-1980.67870861	4247.57919792	0.0	-2032.50003499	4197.22118901	12.7261917433	-51.82132637864056	-50.35800890918836	12.726191743283465
116	-2087.19224204	4279.37827198	0.0	-2045.34924778	4193.16868843	-3.8519179859	41.84299426801604	-86.20958354981398	-3.8519179858970602
117	-2196.2025535	4310.29020372	0.0	-2262.87340919	4330.81852559	46.6449866862	-66.67085569209345	20.528321876246665	46.64498668622946
118	-2307.75125942	4340.24886902	0.0	-2285.47361682	4302.6418946	91.497032991	22.27764260224427	-37.606974424813046	91.49703299101716
119	-2421.87858165	4369.18461877	0.0	-2422.30393024	4449.7484369	79.5233349154	-0.4253485927720959	80.56381812991879	79.52333491542839
120	-2538.62307692	4397.0241505	0.0	-2609.42838305	4362.92964378	86.5367321957	-70.80530612932709	-34.09450671878871	86.53673219567696
121	-2658.02134159	4423.69038245	0.0	-2685.80945371	4400.64581716	-73.2534598906	-27.7881121190988	-23.044565290784007	-73.25345989058076
122	-2780.10769019	4449.10233106	0.0	-2829.00037513	4354.10838022	50.4351595078	-48.892684945691215	-94.99395083668047	50.43515950784794
123	-2904.91380635	4473.1749933	0.0	-2930.5417186	4561.89994869	-95.5080050971	-25.62791224382144	88.72495538198604	-95.50800509709102
124	-3032.4683646	4495.81923561	0.0	-3058.73729952	4593.61157587	-16.8183081163	-26.268934913936164	97.79234026359322	-16.81830811630809
125	-3162.79662159	4516.94169086	0.0	-3237.75931692	4591.63866911	72.8107929091	-74.96269532664425	74.69697825167344	72.81079290910108
126	-3295.9199755	4536.4446656	0.0	-3225.3646173	4560.62199514	-40.1437429282	70.55535820506975	24.17732954050402	-40.143742928162226
127	-3431.85549238	4554.22605971	0.0	-3529.25795639	4484.60300771	-73.8313913292	-97.4024640122553	-69.62305199481102	-73.83139132918384
128	-3570.6153982	4570.1793007	0.0	-3636.71006487	4528.95875772	33.7357716155	-66.0946666687106	-41.22054297689293	33.73577161553129
129	-3712.20653595	4584.19329572	0.0	-3774.97334256	4657.28771813	96.9262829511	-62.7668066135088	73.09442241353062	96.92628295108025
130	-3856.62978687	4596.1524038	0.0	-3803.80821797	4588.41745267	-86.6180812024	52.82156889056171	-7.734951129999246	-86.61808120240696
131	-4003.87945551	4605.93643194	0.0	-3997.11123093	4570.79981222	-62.2088021662	6.768224577679433	-35.13661971498408	-62.20880216623923
132	-4153.94261865	4613.42065815	0.0	-4130.78458572	4603.3170348	-13.2207396178	23.15803292541112	-10.103623353842025	-13.220739617772253
133	-4306.79843828	4618.4758856	0.0	-4363.22251029	4711.62319386	-3.62658256247	-56.42407200520603	93.14730826896107	-3.6265825624652592
134	-4462.41743961	4620.9685315	0.0	-4446.63602753	4581.4869411	-67.7794573649	15.781412071921125	-39.48159040306072	-67.7794573649432
135	-4620.76075542	4620.76075542	0.0	-4630.19862964	4570.03925494	52.9195704743	-9.437874219966048	-50.721500479794244	52.91957047428119
136	-4781.77933892	4617.7106312	0.0	-4837.51559937	4678.13283984	-22.0192121942	-55.73626045237472	60.4222086419301	-22.01921219415904
137	-4945.41314779	4611.6723675	0.0	-4869.06287994	4607.29536215	3.26746639725	76.35026785146204	-4.377005352316203	3.2674663972480573
138	-5111.59030307	4602.49658168	0.0	-5173.30797973	4537.83275788	-89.5820826078	-61.71767666304875	-64.66382379839004	-89.5820826078169
139	-5280.22622749	4590.03063222	0.0	-5181.29776505	4655.63151574	2.25853706365	98.92846243402508	65.6008835177783	2.258537063654771
140	-5451.22276879	4574.11901476	0.0	-5509.38943592	4617.09404023	47.4968004977	-58.166667131132435	42.975025472792765	47.49680049772829
141	-5624.46731478	4554.60382674	0.0	-5526.20435668	4495.17150013	-63.767268785	98.26295810082857	-59.43232660810565	-63.7672687850118
142	-5799.83190798	4531.32530586	0.0	-5806.84073111	4603.50626275	-37.0412443313	-7.008823128215113	72.18095688959889	-37.04124433130966
143	-5977.17236923	4504.122447	0.0	-6024.2313697	4579.76017154	-93.7625396926	-47.059000462924814	75.63772454179883	-93.76253969256285
144	-6156.32744077	4472.83370205	0.0	-6137.41427124	4487.41365138	49.4015969583	18.913169526566122	14.579949335382054	49.40159695833185
145	-6337.11796086	4437.29776672	0.0	-6322.33883135	4525.98983343	17.8393141505	14.779129510924818	88.6920667069408	17.839314150540048
146	-6519.34608355	4397.3544576	0.0	-6592.58655165	4347.45257878	98.1709620255	-73.24046810048878	-49.901878811238085	98.17096202554242
147	-6702.79455845	4352.8456819	0.0	-6686.21133906	4298.98787141	-61.898645625	16.583219382739685	-53.85781049186051	-61.89864562497487
148	-6887.22608708	4303.61650149	0.0	-6948.46889174	4234.26376374	49.5733371597	-61.24280465717318	-69.35273774121231	49.57333715970779
149	-7072.38277349	4249.51629128	0.0	-7017.72489078	4333.3840972	56.404196366	54.657882706227866	83.86780592222277	56.4041963659638
150	-7257.98568826	4190.39999089	0.0	-7160.30697247	4209.65703935	53.3645715229	97.6787157836275	19.257048454933965	53.36457152292752
151	-7443.73456599	4126.12944654	0.0	-7535.96862561	4084.0442269	30.1132029473	-92.23405961993456	-42.08521964361622	30.113202947294724
152	-7629.30765721	4056.57483838	0.0	-7658.56870246	3984.85681145	-4.45217718433	-29.261045252181788	-71.71802693350666	-4.452177184330225
153	-7814.36175618	3981.61618633	0.0	-7840.79352819	4012.82234004	77.6733654707	-26.431772012357186	31.20615371191667	77.67336547070428
154	-7998.53242619	3901.14492495	0.0	-8064.79363399	3993.21794713	6.11775680024	-66.26120779828668	92.07302218069543	6.1177568002379985
155	-8181.43444363	3815.06553576	0.0	-8110.80869339	3799.57621542	-2.76279547637	70.62575023713069	-15.489320335149984	-2.7627954763679696
156	-8362.66248124	3723.2972222	0.0	-8298.97987494	3661.50294994	74.6078645317	63.6826063044503	-61.794272264674774	74.60786453166457
157	-8541.7920496	3625.77561035	0.0	-8557.74304242	3706.19579262	-51.5256878532	-15.950992822967635	80.42018226646698	-51.52568785323697
158	-8718.38071363	3522.45445512	0.0	-8666.78959177	3584.19234281	45.6238670387	51.59112186032553	61.737887687584845	45.62386703873534
