i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
70	910.703127313	2502.13627812	0.0	841.677418445	2503.06244305	-30.1261190649	-69.02570886850611	0.9261649257024089	-30.12611906487379
71	875.026699631	2541.26205933	0.0	938.860218627	2454.21654868	35.1311996881	63.83351899618705	-87.04551064557533	35.131199688110485
72	838.453507121	2580.49455555	0.0	854.135841576	2608.45191526	-89.3880371964	15.68233445561114	27.957359706025997	-89.38803719635997
73	800.962818399	2619.83133187	0.0	834.294654222	2532.58808238	-31.043452162	33.331835823489826	-87.24324948754834	-31.043452161968887
74	762.533295194	2659.26962757	0.0	806.513693864	2657.74415592	-45.1447658375	43.98039867020671	-1.5254716475007228	-45.144765837518406
75	723.142978263	2698.80633601	0.0	807.345198624	2736.46886057	-74.2192261512	84.20222036129434	37.66252455696218	-74.2192261512154
76	682.769273282	2738.43798328	0.0	606.980963204	2816.71580778	-75.664954771	-75.78831007846532	78.27782449296805	-75.6649547709777
77	641.388936758	2778.1607056	0.0	625.702902267	2784.77101883	63.8022807257	-15.686034491681951	6.610313229875018	63.80228072566575
78	598.978062009	2817.97022545	0.0	585.743381966	2807.37289153	-65.4591427633	-13.234680043409199	-10.597333914250513	-65.45914276325517
79	555.512065266	2857.86182629	0.0	614.681656403	2934.66346016	76.1776498325	59.169591136359855	76.80163387162014	76.17764983254628
80	510.965671967	2897.83032588	0.0	579.478728983	2814.5144362	65.0716781934	68.51305701648764	-83.31588967105415	65.07167819335109
81	465.312903298	2937.87004799	0.0	487.634058986	2873.61067438	-23.5470270291	22.32115568845549	-64.25937361472194	-23.547027029095034
82	418.527063077	2977.97479261	0.0	423.648501553	2943.06975863	65.8029477485	5.121438476383602	-34.90503398377052	65.80294774848849
83	370.580725051	3018.13780434	0.0	352.325717609	2979.19600357	-5.20860068713	-18.25500744130008	-38.941800775390135	-5.208600687134975
84	321.445720713	3058.35173912	0.0	393.948478468	3121.31621431	-5.44073189966	72.50275775466775	62.96447519468998	-5.440731899657976
85	271.093127742	3098.60862901	0.0	265.837434437	3182.28082258	-10.323285947	-5.255693304402826	83.67219356899435	-10.323285946989614
86	219.493259176	3138.89984507	0.0	143.529866858	3181.45049294	39.3076807987	-75.96339231711985	42.55064786854632	39.30768079867386
87	166.615653468	3179.21605814	0.0	252.597846548	3151.21798564	-78.4194455943	85.98219308046066	-27.998072496200095	-78.41944559432226
88	112.429065551	3219.54719748	0.0	108.105657095	3271.54168404	3.70221191865	-4.323408455363321	51.99448656290542	3.702211918649283
89	56.9014590749	3259.88240714	0.0	135.110313131	3249.91689448	37.6319136578	78.2088540559779	-9.96551265595646	37.63191365779258
90	2.02079580651e-13	3300.21	0.0	66.3970230937	3205.87785144	-9.06136809336	66.39702309368076	-94.33214855670748	-9.061368093359292
91	-58.3089482733	3340.51740931	0.0	-40.9975998436	3355.79342382	-22.9360641657	17.311348429700885	15.27601450959979	-22.93606416566385
92	-118.059828018	3380.79113765	0.0	-112.822526533	3303.87102985	77.9784661945	5.237301484846228	-76.9201077974101	77.97846619445292
93	-179.287888307	3421.01670323	0.0	-204.383348039	3358.64125661	88.1989120575	-25.095459732694295	-62.375446626386235	88.19891205746151
94	-242.029183904	3461.17858339	0.0	-157.965162732	3441.31247374	93.815076107	84.06402117201054	-19.86610965309407	93.81507610699146
95	-306.320571631	3501.26015515	0.0	-324.692080296	3462.19612148	38.4804074166	-18.371508664872778	-39.06403367553233	38.4804074165921
96	-372.199703916	3541.24363281	0.0	-364.349465093	3634.01063498	43.7489121254	7.850238822378202	92.76700216739883	43.748912125385516
97	-439.705019185	3581.11000236	0.0	-429.98846945	3536.69754172	93.9072872166	9.716549735166979	-44.41246063925399	93.90728721656458
98	-508.87572874	3620.83895273	0.0	-460.786157185	3619.00177026	6.85606130271	48.08957155525741	-1.837182470639533	6.856061302709975
99	-579.751799722	3660.40880363	0.0	-578.916398437	3596.53814535	62.3245913577	0.8354012850155641	-63.870658280690805	62.32459135774954
100	-652.373933745	3699.79643004	0.0	-564.043678601	3692.47839284	-8.01765163566	88.33025514388711	-7.31803719429432	-8.017651635664151
101	-726.783540713	3738.97718312	0.0	-650.112429869	3677.07838484	45.8193857477	76.67111084419514	-61.89879827973752	45.81938574769919
102	-803.022707349	3777.92480759	0.0	-819.469727032	3680.0225652	15.5482470546	-16.447019683703772	-97.90224238462093	15.548247054601987
103	-881.13415985	3816.6113554	0.0	-908.141774801	3812.02682258	3.1651374242	-27.00761495146355	-4.584532820948681	3.165137424195393
104	-961.161220121	3855.00709572	0.0	-931.579275518	3878.78495452	-87.565951168	29.581944603196803	23.777858803723944	-87.5659511679712
105	-1043.14775492	3893.08042115	0.0	-1013.93321004	3871.66998738	-66.139951338	29.2145448823386	-21.41043377056215	-66.1399513379863
106	-1127.13811723	3930.79775024	0.0	-1217.38616396	3951.16298058	-2.73122642532	-90.2480467272641	20.365230339079105	-2.7312264253202017
107	-1213.17707918	3968.12342613	0.0	-1259.71953449	3979.29055177	-85.9345436279	-46.542455306246055	11.167125639726223	-85.93454362791061
108	-1301.30975561	4005.01961159	0.0	-1340.03452315	4065.38080888	-22.9431858633	-38.7247675418944	60.36119729116675	-22.94318586329358
109	-1391.58151753	4041.44618038	0.0	-1400.19498598	3970.31640023	25.5912179217	-8.613468456625583	-71.12978014600387	25.591217921685285
110	-1484.03789459	4077.360605	0.0	-1392.81009903	4145.61455738	-73.486269913	91.22779556306531	68.25395237486441	-73.48626991299494
111	-1578.72446548	4112.7178412	0.0	-1654.50660525	4120.69727218	34.7761502109	-75.78213976232524	7.979430986131476	34.77615021093635
