,x,y,z,x+dif,y+dif,z+dif,xdif,ydif,zdif
39,1661.10185483,1345.13375955,0,1742.33783007,1254.31210145,-23.4748161032,81.2359752394216,-90.8216580961334,-23.4748161032164
40,1645.65573166,1380.86911748,0,1705.88766022,1290.95229984,-87.9395548736,60.2319285644723,-89.9168176421488,-87.9395548735946
41,1629.72287627,1416.69648266,0,1593.57811817,1472.02926572,-11.5140898218,-36.1447580934541,55.332783067611,-11.5140898218204
42,1613.2954622,1452.61775881,0,1572.39705787,1547.03327531,7.23661252703,-40.8984043255256,94.4155165034154,7.23661252702989
43,1596.36538579,1488.63480524,0,1570.30393707,1515.92664492,30.3687819769,-26.0614487254449,27.2918396832438,30.3687819769243
44,1578.92425941,1524.74943359,0,1650.80495647,1442.95794526,61.9250326821,71.8806970537121,-81.7914883238162,61.9250326821313
45,1560.96340442,1560.96340442,0,1624.10971039,1493.78588267,-11.7521777468,63.146305965474,-67.1775217494942,-11.7521777468342
46,1542.47384394,1597.27842363,0,1594.29903577,1663.87466378,21.9648033368,51.8251918317214,66.5962401506439,21.9648033368481
47,1523.44629532,1633.69613851,0,1539.42723355,1729.58133115,23.6215217642,15.9809382261454,95.8851926409389,23.6215217641983
48,1503.87116244,1670.2181337,0,1408.70393166,1654.82305291,-97.0438156863,-95.1672307877194,-15.3950807909542,-97.0438156862505
49,1483.73852765,1706.84592679,0,1402.99038763,1778.35382768,62.6726943082,-80.7481400199118,71.5079008944333,62.6726943081833
50,1463.03814354,1743.58096367,0,1421.8100108,1692.05302285,-51.6998621618,-41.2281327487798,-51.5279408201257,-51.6998621618459
51,1441.75942441,1780.42461361,0,1540.2049503,1785.99708615,82.7175652757,98.445525890989,5.57247253943044,82.7175652757224
52,1419.89143745,1817.37816399,0,1493.95414273,1835.28977968,90.5764009716,74.0627052785314,17.9116156871125,90.5764009715861
53,1397.42289375,1854.44281476,0,1394.54067846,1924.89543064,90.8120271343,-2.88221529232801,70.4526158724556,90.8120271343229
54,1374.34213888,1891.6196725,0,1283.33079901,1879.24874129,67.768081033,-91.0113398706158,-12.3709312102368,67.7680810330222
55,1350.63714336,1928.90974413,0,1356.01306479,1987.55778256,36.7974840792,5.37592142758572,58.6480384291473,36.7974840792204
56,1326.29549275,1966.31393026,0,1380.94230056,2060.82209668,62.4726118459,54.6468078111487,94.5081664207111,62.4726118458582
57,1301.30437746,2003.83301812,0,1392.45075917,2008.01684581,59.8676901996,91.1463817099235,4.18382769238144,59.867690199644
58,1275.65058239,2041.46767399,0,1327.46534392,2089.10066366,-19.0045336016,51.8147615335108,47.6329896750244,-19.0045336016486
59,1249.32047612,2079.21843529,0,1234.64549169,2033.59410172,-11.5600905998,-14.674984433616,-45.6243335746445,-11.5600905998435
60,1222.3,2117.08570209,0,1159.36602459,2040.26094938,64.3446459855,-62.9339754057703,-76.8247527136158,64.3446459855272
61,1194.57465682,2155.06972814,0,1229.26396291,2130.73952123,-5.01144268842,34.689306091082,-24.3302069187984,-5.011442688418
62,1166.12949931,2193.17061137,0,1082.49533424,2238.67675729,-71.292715287,-83.6341650636117,45.5061459257971,-71.292715286957
63,1136.94911828,2231.38828375,0,1173.0389182,2144.06186426,49.8728527407,36.0897999281064,-87.3264194952603,49.8728527407395
64,1107.01763058,2269.72250068,0,1198.37361232,2213.93776584,-10.4087892656,91.355981739398,-55.7847348349529,-10.408789265637
65,1076.31866676,2308.17282954,0,1149.6421834,2251.8624145,-34.3830606808,73.3235166385806,-56.3104150422982,-34.3830606808416
66,1044.83535846,2346.73863777,0,986.338536692,2299.13137724,36.2483878487,-58.4968217670263,-47.60726053863,36.2483878487058
67,1012.55032559,2385.41908006,0,1052.54559617,2373.3948866,80.6321139566,39.9952705775014,-12.0241934651212,80.6321139565689
68,979.445663301,2424.21308487,0,1063.01616277,2392.48605395,-55.2698416463,83.570499468477,-31.7270309274493,-55.2698416463404
69,945.502928681,2463.11934014,0,907.342957113,2429.60050603,-82.8678035527,-38.1599715679883,-33.5188341090171,-82.8678035527385
70,910.703127313,2502.13627812,0,882.30875543,2573.69310783,-78.281875764,-28.3943718829041,71.5568297104751,-78.2818757640318
71,875.026699631,2541.26205933,0,935.21590123,2470.75530066,-82.4262207442,60.1892015986423,-70.5067586667531,-82.4262207442419
72,838.453507121,2580.49455555,0,870.69197155,2582.73677122,-79.3878913573,32.2384644290211,2.24221566766323,-79.3878913573481
73,800.962818399,2619.83133187,0,833.52165534,2520.06283722,78.2126619153,32.5588369408902,-99.7684946503873,78.2126619153265
74,762.533295194,2659.26962757,0,735.169292008,2690.34621298,-6.64599384176,-27.3640031861796,31.0765854106408,-6.64599384176316
75,723.142978263,2698.80633601,0,812.860895125,2648.08236461,15.8095316009,89.7179168622286,-50.7239714049137,15.8095316009383
76,682.769273282,2738.43798328,0,724.03610988,2692.86198058,10.0199992852,41.2668365975017,-45.5760027048973,10.0199992851835
77,641.388936758,2778.1607056,0,562.864821235,2826.44658006,99.2888769292,-78.5241155233788,48.285874459706,99.2888769292078
78,598.978062009,2817.97022545,0,634.410003897,2904.30798583,23.3953814714,35.4319418882562,86.3377603866138,23.3953814713666
79,555.512065266,2857.86182629,0,498.789784754,2923.69358021,55.1638772904,-56.7222805127056,65.8317539200561,55.1638772903747
80,510.965671967,2897.83032588,0,591.510667746,2922.93176088,-12.9048115398,80.5449957792505,25.101435005329,-12.9048115398123
81,465.312903298,2937.87004799,0,418.889473313,3009.67757633,-7.08452582025,-46.4234299848784,71.8075283382799,-7.08452582025123
82,418.527063077,2977.97479261,0,478.760433001,2983.50913666,-10.4919084931,60.2333699241415,5.53434404216119,-10.4919084931166
83,370.580725051,3018.13780434,0,334.85584623,3014.87285581,40.8889840194,-35.724878820887,-3.26494853417584,40.8889840194203
84,321.445720713,3058.35173912,0,268.451777564,3008.65059076,28.6709907331,-52.9939431497223,-49.701148361606,28.6709907331257
85,271.093127742,3098.60862901,0,275.586628007,3063.88421521,-35.1660226812,4.49350026504078,-34.7244137926724,-35.166022681197
86,219.493259176,3138.89984507,0,207.249130233,3150.42075202,-71.6021856747,-12.2441289428433,11.5209069499236,-71.6021856747233
87,166.615653468,3179.21605814,0,246.280054867,3255.18637299,-21.1557412273,79.6644013993281,75.9703148502225,-21.1557412272672
88,112.429065551,3219.54719748,0,109.453604445,3233.74610221,46.3486162571,-2.97546110575873,14.1989047370401,46.3486162570743
89,56.9014590749,3259.88240714,0,-19.2580326862,3344.32992689,14.7357578794,-76.1594917611542,84.447519756815,14.7357578793583
90,2.02079580651E-13,3300.21,0,97.0827436912,3349.47841883,-3.94219270228,97.082743691211,49.2684188293086,-3.94219270228258
91,-58.3089482733,3340.51740931,0,-43.999962819,3387.20603994,-83.8603782759,14.3089854543074,46.6886306268184,-83.8603782759436
92,-118.059828018,3380.79113765,0,-175.422503463,3382.39183893,-36.3921735372,-57.3626754454024,1.60070128537211,-36.3921735371661
93,-179.287888307,3421.01670323,0,-263.148765928,3471.8600033,-6.6381519031,-83.8608776209161,50.8433000702507,-6.63815190309968
94,-242.029183904,3461.17858339,0,-230.890914697,3484.91929457,-9.36897790787,11.1382692068319,23.7407111780482,-9.36897790786502
95,-306.320571631,3501.26015515,0,-324.634779642,3537.46128766,-41.9506421259,-18.3142080115117,36.2011325032017,-41.9506421259192
96,-372.199703916,3541.24363281,0,-318.083035304,3620.06923914,-82.7218038988,54.1166686121594,78.825606328607,-82.7218038988411
97,-439.705019185,3581.11000236,0,-485.748702054,3600.75994727,-93.7577735121,-46.0436828690769,19.649944906174,-93.7577735121437
98,-508.87572874,3620.83895273,0,-547.293521107,3589.5434923,-10.4799465805,-38.4177923673282,-31.2954604300099,-10.4799465804758
99,-579.751799722,3660.40880363,0,-489.912414292,3618.55032601,76.4741499403,89.8393854300859,-41.8584776216355,76.4741499403256
100,-652.373933745,3699.79643004,0,-694.556467262,3745.14664048,-24.8533957172,-42.1825335176488,45.3502104379815,-24.8533957172255
101,-726.783540713,3738.97718312,0,-732.183109602,3712.33376398,22.3873185263,-5.39956888845732,-26.6434191391198,22.3873185262971
